Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars), _wdire,weather,Visibility (km),PM2.5 concentration (ug/m^3)
1.138888889,0.92,6.6493,1040.76,North,rain,7.0357,54
0.627777778,0.92,6.6654,1041.05,SSW,rain,7.0357,50
0.683333333,0.92,5.8765,1041.19,North,rain,3.7835,45
0.627777778,0.92,6.3112,1041.44,South,rain,4.5885,42
1.138888889,0.92,3.3005,1041.35,North,sun,4.3148,97
1.083333333,0.92,6.2468,1041.46,North,rain,4.3792,67
1.161111111,0.92,7.406,1041.24,North,rain,4.5885,83
1.161111111,0.92,7.6314,1041.13,North,rain,4.5885,92
1.083333333,0.96,5.5223,1041.32,SW,rain,4.0411,108
1.138888889,0.99,3.3488,1041.55,SW,rain,3.5581,118
2.2,0.92,3.1395,1041.84,West,rain,4.025,89
2.711111111,0.89,1.9481,1041.94,West,snow,4.5724,80
3.938888889,0.82,4.8461,1041.63,West,snow,5.1359,90
3.961111111,0.88,7.8568,1041.34,WNW,rain,6.2951,107
3.961111111,0.82,4.9427,1041.08,WSW,snow,7.5187,115
5.05,0.76,9.5151,1040.92,West,snow,9.982,104
4.005555556,0.81,4.3148,1041.01,West,rain,9.982,105
2.544444444,0.85,0.9982,1041.28,WSW,rain,7.5187,
0.255555556,0.91,7.9534,1041.22,WSW,rain,9.982,25
0.122222222,0.92,5.2325,1041.42,SW,rain,9.9015,49
-0.666666667,0.92,7.6475,1041.59,North,rain,8.6135,55
-0.966666667,0.96,11.3988,1041.44,North,snow,11.8979,47
-0.527777778,0.96,14.49,1041.9,North,rain,9.8049,43
-0.294444444,0.96,10.2718,1041.75,North,rain,7.0518,38
-1.011111111,0.9,6.44,1041.9,North,rain,6.118,42
-1.272222222,0.92,11.27,1041.59,North,rain,6.118,37
-1.777777778,0.99,11.27,1041.51,North,drizzle,0.6762,47
-2.233333333,0.99,0,1041.49,North,drizzle,1.5617,47
-2.966666667,0.94,14.49,1041.54,North,sun,3.059,45
-1.661111111,0.95,9.9176,1041.42,North,sun,5.6994,49
-3.322222222,0.99,11.27,1041.35,North,rain,9.6761,48
-2.65,0.92,14.49,1041.49,North,rain,3.059,52
-2.583333333,0.96,9.6278,1041.7,North,rain,6.0375,55
-2.333333333,0.94,14.49,1041.9,SSE,rain,1.449,55
-0.694444444,0.94,11.27,1042.2,North,rain,1.449,39
0.227777778,0.89,7.6314,1042.31,North,rain,4.4114,40
2.222222222,0.92,9.8371,1042.2,North,rain,1.932,41
2.777777778,0.91,10.5133,1041.6,WSW,snow,1.932,42
2.65,0.82,12.2521,1041.43,West,drizzle,6.2629,51
2.511111111,0.89,9.8371,1041.05,WNW,sun,2.576,53
2.511111111,0.86,10.5133,1041.05,WNW,sun,2.576,50
1.788888889,0.91,7.0679,1041.1,WNW,sun,5.6672,53
2.25,0.89,7.2611,1040.95,North,sun,2.576,51
2.25,0.89,6.2146,1041.15,North,drizzle,2.576,64
1.688888889,0.92,6.8908,1041.19,North,drizzle,6.1985,68
1.694444444,0.94,4.9105,1041.26,North,drizzle,2.576,68
1.694444444,0.94,3.22,1041.16,WNW,drizzle,2.576,76
1.15,0.92,7.728,1041.13,North,drizzle,6.1824,76
1.694444444,0.94,6.44,1041.21,North,drizzle,1.932,90
1.694444444,0.94,1.8515,1040.81,North,drizzle,1.932,73
1.15,0.92,8.7262,1038.87,WSW,rain,6.2629,93
1.694444444,0.94,3.22,1040.36,West,rain,1.932,98
1.694444444,0.94,0.8533,1040.07,SW,rain,1.932,105
1.15,0.93,4.5241,1039.45,WSW,rain,6.1824,104
1.427777778,0.94,0,1039.01,WSW,rain,1.932,99
1.427777778,0.94,6.44,1038.97,West,rain,1.932,105
1.133333333,0.96,7.0035,1038.56,West,rain,4.8783,104
1.716666667,0.94,0,1038.66,WSW,rain,1.932,107
1.983333333,0.92,6.44,1038.56,WNW,rain,3.059,106
1.75,0.96,5.6511,1038.53,WNW,rain,1.771,121
2.827777778,0.89,9.499,1038.11,WSW,drizzle,3.059,120
3.094444444,0.87,7.9856,1037.41,West,rain,3.059,120
2.722222222,0.92,6.8747,1036.93,WNW,rain,2.1574,126
3.094444444,0.87,9.8371,1036.01,West,rain,3.059,126
3.094444444,0.87,8.211,1035.61,West,rain,3.059,110
2.766666667,0.89,6.2468,1035.28,WSW,rain,2.6243,109
2.827777778,0.84,14.49,1034.86,North,sun,4.991,104
2.25,0.9,14.49,1034.71,WNW,rain,4.025,99
2.194444444,0.9,7.2289,1034.34,WNW,drizzle,3.4454,98
2.25,0.87,14.49,1034.26,WNW,rain,4.025,127
2.25,0.87,14.49,1034.2,West,rain,4.025,143
1.705555556,0.92,7.0035,1033.73,North,rain,3.5098,144
2.25,0.85,8.9355,1033.39,North,rain,4.025,129
2.25,0.82,6.44,1032.9,North,drizzle,4.025,116
1.938888889,0.9,5.8604,1032.95,North,rain,5.474,133
1.955555556,0.85,10.8031,1032.24,SW,rain,4.025,152
1.694444444,0.91,14.49,1031.94,WSW,rain,3.059,159
1.15,0.9,10.7226,1031.3,WSW,sun,7.2128,172
1.694444444,0.98,8.9355,1031.2,West,rain,1.932,183
1.694444444,0.98,4.8461,1031.16,West,rain,1.288,190
2.022222222,0.87,9.2897,1031.43,WNW,rain,8.7584,160
1.983333333,0.98,6.44,1031.4,SW,rain,1.932,154
2.25,0.96,9.0321,1031.8,WSW,rain,2.576,149
2.127777778,0.96,13.3308,1031.56,West,rain,1.8998,149
2.511111111,0.98,7.1323,1032.25,West,rain,4.025,131
3.094444444,0.92,10.7226,1032.21,West,rain,4.508,134
3.811111111,0.86,14.1197,1030.81,West,rain,13.9748,116
3.938888889,0.89,13.4435,1031.85,WNW,rain,6.118,89
3.938888889,0.89,12.0267,1031.9,North,rain,8.05,71
2.816666667,0.92,11.2861,1031.05,North,sun,11.5276,83
3.361111111,0.91,8.6457,1032.44,North,sun,4.991,82
3.094444444,0.92,6.9874,1032.85,North,rain,4.025,83
1.733333333,0.96,3.9928,1032.1,North,rain,8.1788,78
3.094444444,0.92,6.2146,1033.2,North,rain,6.118,66
3.094444444,0.92,9.0321,1033.49,North,drizzle,6.118,65
2.727777778,0.92,3.8801,1032.52,North,fog,6.6976,37
0.744444444,0.95,2.4633,1033.91,ENE,rain,3.059,37
0.744444444,0.93,4.1699,1034.12,ENE,rain,1.449,49
1.933333333,0.95,3.5259,1033.49,North,rain,6.7781,53
-0.9,0.94,1.5295,1034.52,North,rain,1.288,40
-0.844444444,0.98,1.5295,1034.67,North,rain,1.932,42
-0.961111111,0.98,3.6869,1033.82,North,rain,4.0733,48
-1.638888889,0.96,4.6368,1035.33,North,rain,2.576,46
-1.638888889,0.94,3.22,1035.83,East,sun,3.059,45
-1.016666667,0.87,5.2647,1036.24,North,rain,8.9677,69
-1.111111111,0.92,4.7656,1037.28,South,rain,8.05,81
-0.316666667,0.88,12.5258,1037.78,North,rain,9.982,89
0.977777778,0.76,16.9855,1037.36,WSW,snow,14.9569,89
0.527777778,0.72,13.8782,1038.68,West,sun,9.982,119
2.488888889,0.61,16.1,1038.38,West,sun,9.982,124
1.794444444,0.47,15.0535,1036.38,West,sun,15.3111,119
3.016666667,0.59,10.6099,1037.98,North,sun,9.982,23
2.172222222,0.62,7.4382,1038.17,North,sun,9.982,23
0.577777778,0.57,8.2754,1036.92,North,rain,15.3111,14
-1.694444444,0.81,1.5295,1038.92,North,rain,9.982,14
-2.511111111,0.85,0,1039.32,WSW,rain,9.982,20
-2.322222222,0.8,8.372,1038.04,SW,drizzle,14.9569,20
-4.733333333,0.92,1.5295,1039.57,WSW,sun,9.982,19
-5,0.92,3.22,1039.82,West,sun,9.982,22
-4.461111111,0.82,4.3631,1038.19,West,sun,14.8764,21
-5.844444444,0.92,3.22,1039.71,WSW,sun,8.05,22
-5.844444444,0.92,6.7942,1039.67,West,rain,8.05,12
-5.461111111,0.77,3.9445,1038.03,WSW,rain,15.1501,9
-3.622222222,0.88,3.22,1038.96,WSW,rain,8.05,23
-3.305555556,0.86,5.8282,1038.76,WSW,rain,8.05,17
-5.888888889,0.85,5.1359,1036.92,WSW,rain,15.3594,20
-3.494444444,0.86,14.49,1038.1,North,sun,8.05,24
-3.761111111,0.88,6.9391,1037.9,North,rain,8.05,24
-7,0.85,7.5831,1036.8,North,rain,14.2163,44
-2.966666667,0.84,7.4704,1037.86,North,rain,11.27,59
-2.172222222,0.83,6.9391,1038.01,North,rain,11.27,34
-1.072222222,0.78,8.4525,1038.36,North,rain,12.0911,45
1.983333333,0.63,8.4525,1037.81,North,fog,9.982,34
2.777777778,0.67,11.1251,1037.01,SW,rain,9.982,32
2.272222222,0.67,11.1251,1036.31,SW,drizzle,14.5222,31
3.888888889,0.65,8.2271,1035.4,WSW,rain,16.1,41
3.066666667,0.74,8.6618,1035.3,SW,rain,16.1,38
