Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars), _wdire,weather,Visibility (km),PM2.5 concentration (ug/m^3)
6.122222222,0.91,6.279,1015.9,West,sun,14.168,103
5.327777778,0.95,5.8926,1015.92,North,sun,8.1305,104
4.355555556,0.95,10.9158,1015.89,North,sun,3.3649,102
9.272222222,0.89,3.6386,1007.55,North,rain,15.0052,122
4.261111111,0.92,6.0697,1015.21,North,rain,4.7495,158
3.216666667,0.92,6.0697,1015.18,North,rain,5.2164,175
3.905555556,0.92,5.8926,1014.89,North,rain,5.9248,181
2.711111111,0.96,7.9695,1014.29,North,rain,0.5152,176
3.816666667,1,5.2808,1014.35,North,sun,2.737,195
6.883333333,0.93,9.1126,1014,North,sun,5.6833,189
8.938888889,0.88,15.6814,1013.53,North,sun,11.2056,195
11.20555556,0.79,20.7046,1013.05,West,sun,9.982,194
12.85,0.7,20.1572,1012.74,North,rain,11.0285,211
13.96111111,0.63,23.9729,1011.92,North,rain,11.2056,226
14.97777778,0.51,23.9568,1010.87,North,rain,11.2056,215
14.02777778,0.57,22.6849,1009.99,WSW,rain,11.3988,176
15.02222222,0.51,26.7743,1008.85,West,sun,11.2056,204
15.04444444,0.54,20.8817,1007.74,West,fog,9.982,200
15.08888889,0.5,17.1948,1007.07,WNW,sun,10.3523,193
14.95,0.51,14.1197,1006.26,WNW,sun,11.2056,212
13.81666667,0.59,11.1251,1005.77,West,sun,11.2056,212
12.91666667,0.64,11.6886,1005.19,North,sun,9.982,228
13.83888889,0.59,14.2324,1004.85,North,sun,11.2056,189
12.75555556,0.69,6.2629,1005.49,North,fog,15.8263,182
12.65,0.74,18.1286,1005.64,North,rain,14.8764,152
11.68888889,0.8,11.3183,1005.45,North,rain,15.7297,117
10.62777778,0.88,6.5527,1005.65,North,sun,15.7297,116
5.666666667,0.91,8.7262,1012.87,North,sun,9.9015,122
10.05,0.92,6.6171,1006.34,North,sun,14.9569,120
9.977777778,0.93,2.5921,1006.47,North,rain,11.9784,97
9.777777778,0.95,5.4579,1007.16,North,sun,6.6976,102
8.661111111,0.99,4.7334,1007.18,North,rain,10.8836,100
7.55,0.95,20.3504,1007.86,North,rain,3.9767,155
7.233333333,0.93,13.846,1008.4,North,sun,3.6708,189
6.044444444,0.92,23.6187,1008.86,SW,rain,3.7513,206
6.094444444,0.85,22.0892,1009.1,WSW,sun,11.1251,178
6.116666667,0.82,22.1697,1010.06,SW,rain,7.1484,176
6.066666667,0.86,17.7583,1010.67,WNW,rain,7.9051,133
6.038888889,0.93,17.4524,1011.06,WNW,rain,10.9802,63
6.888888889,0.93,22.4595,1011.03,WNW,rain,9.9498,63
7.061111111,0.86,16.1161,1011.14,West,rain,7.9695,19
6.038888889,0.93,20.4631,1011.61,WNW,rain,11.1251,15
6.072222222,0.93,21.1393,1011.86,West,rain,10.4167,8
5.044444444,0.93,20.6885,1011.93,North,sun,8.1949,11
5.022222222,0.92,14.0231,1012.4,North,sun,8.05,10
5.033333333,0.93,14.9408,1013.23,North,rain,7.3738,9
5,0.93,11.1251,1013.8,North,rain,11.0446,6
4.977777778,0.93,14.1197,1014.08,North,rain,8.05,11
4.933333333,0.87,15.939,1013.96,North,sun,9.016,11
4.466666667,0.92,13.9748,1013.9,North,rain,9.9015,11
4.444444444,0.92,14.329,1014.39,North,rain,9.9015,11
4.011111111,0.83,12.1555,1016.82,North,rain,13.9104,8
4.905555556,0.86,13.7977,1014.18,North,fog,9.9015,4
4.883333333,0.83,10.8836,1014.27,North,sun,9.9015,5
4.388888889,0.89,13.3952,1014.14,North,sun,9.016,10
4.838888889,0.86,16.8889,1014.11,North,fog,11.1251,9
4.811111111,0.83,15.3433,1014.41,North,fog,9.982,6
4.944444444,0.84,18.1769,1014.9,WNW,sun,9.982,7
7.2,0.65,17.3719,1014.98,North,sun,9.982,7
7.777777778,0.67,16.261,1014.97,North,sun,11.2056,15
8.727777778,0.64,12.9122,1015.52,North,sun,11.4471,20
8.983333333,0.57,20.4953,1015.64,North,sun,11.2056,20
10,0.5,23.2162,1015.72,SW,sun,11.2056,27
10.09444444,0.55,19.2878,1015.47,North,sun,11.3988,8
11.06111111,0.46,14.2646,1015.24,North,sun,11.2056,10
10.13888889,0.42,12.558,1015.14,North,sun,11.2056,15
11.01111111,0.42,9.3541,1015.13,North,rain,11.3988,11
10.11666667,0.49,7.6636,1015.39,North,sun,11.2056,11
7.916666667,0.57,4.4597,1015.7,North,sun,11.2056,73
7.333333333,0.63,2.6243,1016.2,North,rain,11.0285,97
5.05,0.75,3.059,1016.83,North,rain,11.2056,104
3.933333333,0.76,6.2629,1017.12,North,rain,15.8263,104
4.094444444,0.77,6.3434,1017.38,North,rain,14.9569,95
3.8,0.82,6.2146,1017.32,North,rain,15.7297,98
2.688888889,0.85,10.2879,1017.42,North,drizzle,6.118,102
5.066666667,0.81,5.635,1018.24,North,rain,14.9569,104
2.6,0.85,6.0536,1017.33,North,rain,15.6492,99
1.583333333,0.92,5.9248,1017.53,WSW,rain,14.7315,96
2.155555556,0.9,3.2361,1017.7,SW,sun,13.6528,96
0.955555556,0.92,1.5939,1017.84,West,rain,6.118,90
0.955555556,0.92,4.5724,1018.13,North,sun,4.5885,76
5.594444444,0.82,0.2254,1018.47,West,fog,5.8765,79
9.822222222,0.66,14.49,1018.32,WNW,rain,9.982,81
11.07222222,0.54,1.6744,1018.59,NW,sun,9.982,76
11.05555556,0.48,6.9391,1018.68,WNW,rain,11.0285,78
12.24444444,0.43,7.1323,1018.49,North,rain,11.2056,83
12.85,0.41,9.1609,1018.38,North,sun,11.2056,102
12.88888889,0.38,9.5795,1018.35,North,rain,10.3523,114
12.91666667,0.4,9.4829,1017.58,North,rain,9.982,101
13.88888889,0.46,10.3845,1017.37,North,rain,9.982,88
13.02222222,0.48,12.2038,1017.37,North,sun,10.3523,65
12.38333333,0.49,12.4453,1017.24,North,sun,9.982,78
10.20555556,0.57,9.8371,1017.45,North,sun,9.982,95
9.144444444,0.62,7.6475,1017.83,North,sun,9.982,84
7.827777778,0.68,9.7405,1018.17,North,fog,9.982,58
7.733333333,0.65,6.7459,1018.28,North,sun,15.8263,50
7.144444444,0.69,6.2146,1018.37,North,sun,14.9569,56
6.016666667,0.74,6.4078,1018.39,North,sun,15.8263,56
5.461111111,0.76,6.601,1018.49,North,sun,15.8263,57
8.244444444,0.72,13.3791,1015.16,North,rain,14.9569,49
3.838888889,0.82,6.6332,1018.18,North,rain,15.8263,55
2.244444444,0.91,3.4776,1018.29,North,rain,14.9086,62
2.022222222,0.93,6.2307,1018.28,North,rain,11.2539,65
2.172222222,0.92,10.7065,1018.08,North,sun,5.0393,65
3.661111111,0.89,10.7226,1018.6,West,sun,6.9874,71
6.111111111,0.79,11.8979,1018.66,North,sun,9.5473,70
10.00555556,0.66,11.4793,1018.38,North,sun,9.982,82
12.24444444,0.52,17.8066,1018.46,North,sun,9.982,78
12.93888889,0.5,19.6259,1018.34,North,sun,9.982,78
13.98333333,0.5,20.6241,1017.86,North,sun,9.982,89
15.09444444,0.44,16.0839,1017.26,North,sun,9.982,89
16.25,0.43,14.7798,1016.76,North,sun,15.3111,104
17.26666667,0.41,16.1,1016.04,North,rain,9.982,104
17.28888889,0.38,16.2288,1015.06,North,rain,9.982,85
17.38888889,0.37,14.1358,1014.68,North,sun,10.3523,68
17.28888889,0.38,14.49,1014.36,North,rain,9.982,75
15.08888889,0.44,9.7083,1014.16,North,rain,9.982,78
11.71111111,0.58,10.3845,1014.36,North,sun,9.982,89
11.16111111,0.61,10.9319,1014.6,West,rain,9.982,89
