Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars), _wdire,weather,Visibility (km),PM2.5 concentration (ug/m^3)
17.79444444,0.74,5.5223,1010.76,SSW,rain,14.9569,64
16.66666667,0.78,3.4615,1010.67,SW,sun,15.8263,58
16.18888889,0.81,8.1144,0,SW,sun,11.2056,65
13.35,0.95,4.7978,1007.87,West,sun,14.9569,67
15.55555556,0.93,20.8656,1011.3,North,sun,8.1305,70
15,0.93,24.0695,1011.13,North,sun,7.9695,72
14.51666667,0.96,16.2932,1011.26,SSW,sun,4.991,80
15,0.93,20.7368,0,North,rain,11.0446,79
15,0.93,14.6188,0,North,sun,10.9802,86
15,0.94,14.5544,1011.02,North,rain,10.8836,88
15.11666667,0.93,12.5258,1011.43,North,rain,11.0768,99
15.11666667,0.93,15.4882,1011.71,North,rain,8.05,79
16.24444444,0.92,12.2682,1011.77,SW,fog,11.0768,70
17.87222222,0.84,9.5795,1011.38,WSW,rain,11.27,89
19.05,0.73,3.0751,1011.07,WSW,rain,11.27,67
20.91666667,0.67,4.0572,1010.78,WSW,sun,11.4471,63
21.06111111,0.63,8.3398,0,West,sun,11.27,56
21.11111111,0.63,8.6135,0,West,sun,11.2056,61
21.21111111,0.61,8.5008,1009.34,WNW,sun,11.3988,58
20.07222222,0.67,8.2271,1009.19,WSW,sun,11.2056,73
17.89444444,0.77,8.1305,1008.91,WSW,sun,11.2056,68
17.48888889,0.79,5.3291,1008.8,West,rain,10.3523,68
16.16111111,0.86,9.8854,1008.79,North,fog,9.982,80
16.16111111,0.81,8.3398,0,North,sun,9.982,87
15.16666667,0.87,6.8747,1008.42,North,sun,14.9569,90
13.87222222,0.93,3.4776,1007.98,North,sun,15.8263,97
12.75555556,0.96,6.2307,1007.77,North,sun,15.8263,107
12,0.95,3.2039,1008.45,North,fog,14.168,114
12.75,1,4.8783,0,North,rain,9.982,111
13.35555556,0.96,6.2468,1005.9,North,rain,15.7297,108
13.58333333,0.95,6.0053,1005.48,North,rain,14.8764,92
13.91111111,0.93,7.7924,1004.72,North,fog,11.0446,110
14.95,0.93,9.8693,0,North,sun,6.0214,125
14.92222222,0.93,9.7727,1005.79,North,sun,4.6207,137
14.90555556,0.93,14.4417,1005.36,North,sun,11.1251,138
13.91111111,0.93,24.5203,1006.15,North,sun,11.27,142
14.97222222,0.87,15.8907,1006.97,SW,fog,11.0768,165
16.16111111,0.8,22.2341,0,West,sun,11.27,170
17.82777778,0.65,26.4201,0,SW,sun,11.27,134
18.77222222,0.53,27.9013,1007.57,SW,sun,11.0285,116
19.9,0.49,24.3432,0,West,sun,11.2056,117
