Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars), _wdire,weather,Visibility (km),PM2.5 concentration (ug/m^3)
3.366666667,0.96,13.6045,1000.01,North,sun,0.644,170
2.861111111,0.96,10.5777,1000.5,North,sun,2.9302,158
0.916666667,0.96,6.6332,1007.22,SW,sun,14.3612,162
3.255555556,1,6.0053,1000.9,North,sun,1.8515,158
3.722222222,0.96,10.9802,1000.9,North,sun,0.7728,128
3.633333333,0.96,6.6815,1000.91,West,sun,0.5635,112
3.233333333,0.96,11.0124,1000.7,West,rain,0.161,105
2.772222222,0.96,14.3612,1000.31,West,sun,0.7728,119
3.822222222,0.93,13.5884,1000.44,WSW,sun,1.8998,82
3.811111111,1,16.8728,1000.07,West,sun,3.4293,14
4.927777778,1,17.6617,999.36,West,fog,4.7817,3
6.15,0.93,17.0177,998.95,WNW,fog,9.7566,3
5.988888889,0.93,8.2593,998.86,West,sun,10.7709,9
7.105555556,0.93,11.8818,998.29,West,sun,10.7709,11
7.355555556,0.91,21.8638,997.85,West,sun,5.6994,12
7.211111111,0.93,12.7512,999.04,West,rain,11.1251,3
7.611111111,0.89,26.7421,999.09,SW,rain,11.1251,12
5.35,0.85,29.8333,1001.27,WNW,rain,11.0768,3
4.022222222,0.89,11.6886,1001.2,SW,sun,11.2056,3
2.405555556,0.92,5.152,1003.16,North,rain,9.982,12
1.422222222,0.92,11.753,1004.35,North,sun,9.9015,3
1.255555556,0.92,8.9677,1004.87,SSW,sun,9.9015,3
0.811111111,0.96,6.4078,1005.59,North,sun,15.8263,4
1.444444444,0.95,12.8317,1007.1,North,sun,14.9569,15
0.761111111,0.96,6.118,1007.17,North,sun,15.7297,3
0.666666667,0.96,6.4239,1007.58,WSW,sun,15.6492,6
2.322222222,0.84,10.9963,1010.48,North,sun,14.6832,25
0.6,0.96,6.0858,1009.08,North,sun,15.5526,10
1.177777778,0.96,14.1197,1009.17,North,sun,15.5526,20
2.416666667,0.9,10.4328,1009.69,North,sun,14.7959,21
2.216666667,0.93,15.3916,1009.8,SW,sun,9.8049,28
2.194444444,0.93,12.3165,1010.4,SW,sun,9.8049,11
1.338888889,0.98,8.4042,1010.9,SSW,sun,10.1108,17
2.755555556,0.96,15.778,1011.37,SSE,sun,9.7083,29
4.955555556,0.86,15.4882,1011.78,SSW,rain,9.7405,28
7.383333333,0.83,15.7941,1011.92,SE,rain,10.1913,22
8.838888889,0.83,20.0284,1012.04,SE,sun,9.9015,31
10.02222222,0.82,23.0713,1011.76,ESE,rain,9.982,12
11.02222222,0.66,19.5293,1011.78,ESE,sun,10.3523,21
12.19444444,0.66,20.3826,1010.92,East,fog,9.982,24
12.26111111,0.61,20.3826,1010.65,East,fog,9.982,13
11.23333333,0.65,12.9444,1010.63,East,sun,10.3523,3
7.955555556,0.75,12.6868,1010.72,East,sun,11.2056,13
7.283333333,0.85,14.168,1010.84,East,sun,9.982,23
7.211111111,0.8,13.8943,1011.25,East,sun,9.982,20
7.15,0.74,16.9694,1010.97,East,sun,9.982,26
6.016666667,0.77,17.0821,1010.89,East,sun,15.8263,33
5.388888889,0.75,13.7977,1011.02,East,sun,14.8764,28
4.833333333,0.74,13.846,1011.09,East,sun,15.7297,26
2.683333333,0.83,6.279,1011.08,East,sun,15.6492,33
3.827777778,0.85,13.2342,1011.91,East,sun,14.168,35
1.761111111,0.85,11.0768,1011.07,East,sun,15.5526,34
1.805555556,0.85,7.0518,1011.12,East,rain,15.6009,41
3.072222222,0.82,10.6099,1010.74,North,rain,14.7637,48
4.05,0.77,11.1895,1010.39,East,sun,10.9802,41
5.116666667,0.82,9.5312,1011.73,East,fog,11.0446,63
4.283333333,0.88,9.6922,1011.79,East,sun,11.0285,71
5.116666667,0.82,14.2646,1011.82,East,rain,11.2056,82
7.777777778,0.76,12.6707,1012.79,East,rain,11.2056,76
9.894444444,0.71,9.982,1013.29,ENE,rain,9.982,78
12.17222222,0.61,9.6117,1013.39,East,rain,10.0464,85
13.86111111,0.55,5.2647,1013.19,East,rain,10.0464,108
13.88333333,0.44,5.1359,1012.99,East,fog,11.4471,99
13.00555556,0.58,9.5151,1012.55,ESE,fog,11.27,107
14.02777778,0.63,15.9551,1012.45,ESE,rain,11.27,89
12.74444444,0.62,15.9551,1012.22,ESE,sun,11.3988,78
10.13333333,0.7,11.0446,1012.13,SE,sun,9.982,70
7.861111111,0.76,9.4185,1012.15,West,sun,9.982,30
7.555555556,0.78,10.7387,1012.27,West,sun,9.982,15
6.038888889,0.79,13.9104,1012.06,WNW,sun,9.982,26
6.644444444,0.76,14.007,1012.17,WNW,fog,15.8263,49
7.6,0.76,16.583,1012.38,West,fog,14.9569,63
7.127777778,0.76,17.2753,1011.98,North,fog,15.8263,36
-2.383333333,0.88,6.44,1023.5,North,fog,3.864,21
-4.466666667,0.88,1.8193,1020.93,SSW,fog,2.9946,17
-2.916666667,0.92,6.3112,1022.73,SW,rain,3.864,16
-2.894444444,0.92,6.1824,1022.15,West,rain,3.0751,8
-2.877777778,0.93,6.3273,1021.77,WSW,sun,3.1717,24
-2.916666667,0.92,3.2522,1021.54,SW,rain,3.3971,20
-2.938888889,0.93,7.9051,1021.14,SW,rain,2.9302,48
-2.888888889,0.92,7.2611,1021.06,West,rain,1.61,60
-2.938888889,0.92,5.0554,1020.95,West,sun,1.2558,61
-2.894444444,0.92,3.1556,1020.93,West,rain,0.805,48
-2.938888889,0.93,4.5241,1020.75,West,rain,0.8211,35
-2.894444444,0.92,4.8461,1020.54,West,sun,1.288,60
-2.872222222,0.92,4.6851,1020.14,West,rain,1.449,44
-2.8,0.92,3.542,1020,North,rain,1.771,48
-2.844444444,0.92,4.9427,1019.54,North,rain,2.2057,51
-3.838888889,0.92,4.83,1019.23,North,rain,3.4454,77
-3.75,0.92,4.508,1019.23,North,rain,3.1556,82
-3.838888889,0.85,7.6636,1019.32,North,rain,3.8962,78
-3.888888889,0.92,3.6064,1019.53,North,rain,3.9123,69
-3.855555556,0.92,7.1484,1019.81,North,rain,4.1538,94
-3.888888889,0.92,7.6475,1019.72,SSE,rain,3.9284,101
-4.4,0.92,10.5455,1020.03,South,rain,3.4615,97
-4.422222222,0.9,6.2146,1020.22,West,rain,3.5581,107
-4.35,0.88,3.542,1020.23,SW,rain,3.4937,112
4.561111111,0.82,14.1358,1011.98,SW,fog,15.8263,90
5.733333333,0.86,10.4167,1011.44,East,rain,14.8764,75
3.383333333,0.88,11.0768,1011.99,East,rain,14.9086,98
3.311111111,0.85,11.2056,1011.67,ESE,rain,14.9086,103
2.866666667,0.88,10.2396,1011.79,ESE,rain,14.0875,96
2.361111111,0.84,12.5419,1011.92,SE,rain,9.982,97
2.827777778,0.88,12.558,1011.71,SE,sun,9.982,76
2.872222222,0.89,15.1179,1011.64,SE,fog,8.4203,78
3.888888889,0.88,15.778,1011.57,SE,rain,9.982,106
6.083333333,0.79,15.8263,1011.84,SE,sun,9.982,115
8.883333333,0.71,20.1572,1011.66,West,sun,10.3523,121
12.24444444,0.61,25.0677,1011.26,SSW,sun,9.982,132
12.87222222,0.63,23.4255,1010.96,North,sun,9.982,144
13.83333333,0.58,17.7583,1010.51,North,sun,10.3523,160
13.98333333,0.63,17.5007,1010.06,West,sun,10.0464,157
14.04444444,0.63,15.9068,1010.13,WSW,sun,10.0464,3
14.08333333,0.63,15.5365,1009.93,WNW,sun,10.4006,70
12.19444444,0.72,14.329,1009.95,NNE,sun,9.982,80
9.972222222,0.83,14.2968,1010.24,WNW,sun,9.982,84
9.094444444,0.82,16.8084,1010.08,WNW,rain,9.982,97
8.905555556,0.78,21.8799,1009.57,West,rain,9.982,105
8.883333333,0.74,24.9228,1009.6,West,rain,15.8263,139
8.266666667,0.77,19.3522,1010.34,West,rain,14.9569,113
7.316666667,0.83,10.9641,1010.76,West,rain,15.8263,85
5.622222222,0.89,6.6493,1011.13,West,rain,15.7297,78
5.527777778,0.94,1.5778,1014.15,WNW,rain,6.4722,77
6.544444444,0.83,10.7387,1011.5,NW,rain,15.6492,57
5.961111111,0.86,9.2253,0,WNW,rain,9.6761,68
4.377777778,0.9,10.3362,1012.21,WNW,snow,14.6027,72
3.838888889,0.92,7.7763,0,WNW,sun,9.5634,80
3.927777778,0.89,7.8729,1012.88,WNW,sun,10.8031,84
4.005555556,0.9,7.6636,1013.27,WNW,fog,9.6278,97
4.883333333,0.87,12.5258,1013.77,West,sun,9.6117,99
6.016666667,0.87,9.2575,1014.1,WSW,rain,9.6761,108
7.15,0.87,5.5545,1014.59,SW,rain,9.7566,126
8.955555556,0.83,5.1681,1014.7,WSW,rain,9.982,148
9.072222222,0.82,8.9033,1014.55,WSW,sun,11.2056,155
10.13888889,0.81,11.7369,1014.12,SW,rain,11.0285,141
11.25,0.76,15.1984,1013.76,West,rain,11.2056,123
10.18333333,0.84,15.1823,1013.4,West,rain,11.2056,114
10.08333333,0.82,9.4024,1013.29,WNW,rain,11.0285,127
8.955555556,0.88,9.5795,1013.98,West,sun,11.2056,127
7.727777778,0.96,12.5258,1013.68,WNW,fog,11.1251,127
7.777777778,0.96,11.8657,1013.49,WSW,fog,6.1663,14
6.205555556,1,3.059,1013.53,West,sun,0.4508,108
6.666666667,0.96,7.406,1013.72,West,sun,0.2093,124
6.705555556,0.96,2.6887,1013.77,WNW,rain,0.2898,113
6.083333333,1,10.3201,1013.86,WNW,rain,1.8837,100
6.061111111,0.93,10.5938,1014.25,WNW,rain,5.8443,81
2.344444444,0.85,10.1591,1020.24,WSW,rain,12.9605,93
4.994444444,0.96,6.1341,1015.06,West,sun,5.8443,80
4.972222222,0.96,6.0375,1014.97,West,sun,7.6958,77
4.544444444,0.99,5.8443,1015.46,WSW,rain,9.016,78
5.022222222,0.93,8.0983,1015.92,North,rain,10.7709,71
4.95,0.93,9.2253,1015.85,North,fog,10.7709,68
4.083333333,0.99,4.0089,1016.56,North,fog,9.6439,67
4.927777778,0.99,5.1198,1017.52,North,rain,1.8998,77
5.972222222,0.93,9.6922,1017.65,North,rain,2.576,92
7.027777778,0.88,10.7065,1018.02,North,fog,4.8783,98
7.644444444,0.83,14.1358,1018.16,WSW,sun,6.0214,116
7.622222222,0.76,12.6707,1018.26,WNW,sun,7.9695,134
7.711111111,0.72,10.9802,1018.19,WSW,sun,7.8729,149
7.666666667,0.71,12.9605,1018.25,West,rain,8.1305,164
7.177777778,0.71,12.8156,1018.63,West,fog,11.2056,168
6.283333333,0.76,13.2986,1018.75,West,rain,10.4972,169
6.038888889,0.76,9.821,1018.74,West,rain,11.2056,150
4.905555556,0.82,9.821,1019.04,West,fog,11.1251,154
4.072222222,0.82,14.5222,1019.53,West,fog,9.5473,154
2.777777778,0.82,14.2324,1020.04,West,fog,9.9015,178
2.755555556,0.85,11.0929,1020.72,West,rain,14.812,235
1.544444444,0.88,6.6171,1020.97,North,rain,14.0875,182
0.644444444,0.85,11.0446,1021.21,North,rain,14.812,150
0.644444444,0.85,6.601,1021.32,North,fog,14.812,158
1.244444444,0.9,17.5168,1019.01,North,fog,6.7781,150
1.088888889,0.85,11.0768,1021.07,North,fog,14.7315,133
0.555555556,0.85,6.5044,1020.94,North,rain,14.7315,126
-0.022222222,0.86,6.1824,1021.06,North,fog,11.5276,128
-0.044444444,0.86,4.5563,1020.94,SW,rain,7.9051,132
-0.072222222,0.86,4.669,1021.13,SW,rain,6.9391,135
-0.1,0.87,4.4114,1021.17,North,rain,7.0035,151
0.027777778,0.86,4.3148,1021.82,South,fog,7.9051,154
2.2,0.79,4.347,1021.83,North,fog,9.8532,168
2.933333333,0.8,7.6797,1021.35,WSW,rain,10.948,172
3.938888889,0.81,7.6958,1021.53,WSW,rain,11.27,180
4.005555556,0.81,2.7692,1021.43,WNW,rain,11.27,184
4.366666667,0.78,6.2468,1021.07,West,fog,11.0768,197
4.072222222,0.81,5.1681,1021.2,WNW,fog,11.27,169
4.027777778,0.81,10.9319,1021,West,rain,11.27,211
3.361111111,0.86,13.2342,1020.53,WSW,fog,6.7781,209
2.955555556,0.88,15.7458,1020.21,WSW,sun,5.0393,182
2.844444444,0.89,14.1036,1020.53,West,fog,4.991,217
2.766666667,0.89,19.1429,1020.13,WSW,fog,7.8729,209
2.266666667,0.85,15.8263,1020.43,SW,rain,6.0697,219
1.25,0.91,14.4256,1020.35,North,rain,6.0697,223
1.25,0.92,16.8567,1020.13,North,rain,6.2951,211
1.105555556,0.92,17.2431,1019.4,North,rain,6.118,195
1.105555556,0.92,20.8656,1018.8,North,rain,6.118,191
2.561111111,0.92,7.889,1014.36,NE,rain,8.1144,172
1.133333333,0.89,25.3092,1017.7,North,rain,6.1985,109
1.155555556,0.88,14.9891,1017.17,North,rain,6.2951,64
1.694444444,0.86,23.989,1016.86,North,rain,6.4883,52
2.194444444,0.79,23.9085,1016.46,North,rain,7.2128,31
1.155555556,0.85,23.8924,1015.97,North,fog,8.1305,27
2.205555556,0.81,22.5078,1015.88,North,rain,10.6743,13
2.222222222,0.84,22.0892,1015.8,North,fog,11.2056,14
2.266666667,0.84,22.218,1015.48,North,rain,11.2056,15
2.883333333,0.89,20.6885,1015.66,SE,sun,10.6743,12
2.85,0.88,22.1053,1015.47,North,fog,11.2056,3
3.894444444,0.88,17.8227,1015.35,SSW,sun,11.2056,3
4.911111111,0.87,19.9801,1014.75,SSW,sun,11.0285,
4.983333333,0.85,20.6724,1014.07,West,rain,11.2056,22
5.005555556,0.92,17.9032,1013.68,West,rain,11.27,35
5.916666667,0.87,15.617,1013.31,West,sun,11.0768,3
5.972222222,0.86,16.4381,1012.98,West,sun,11.27,3
4.955555556,0.92,14.8281,1013.16,West,sun,11.27,26
4.955555556,0.93,14.4739,1013.17,WNW,sun,11.0768,30
3.816666667,0.92,14.6027,1012.99,North,rain,11.27,30
3.816666667,0.92,14.4739,1013.1,North,rain,12.0428,56
3.466666667,0.92,12.8961,1013.43,North,rain,11.1895,60
3.261111111,0.92,7.4704,1013.54,North,sun,10.0464,53
3.261111111,0.91,18.7887,1013.55,North,sun,10.0464,58
1.066666667,0.96,4.0894,1011.39,North,sun,3.4776,58
2.15,0.92,6.8586,1013.22,North,sun,8.1949,66
2.15,0.92,6.7137,1012.77,South,sun,6.1985,58
2.261111111,0.92,9.9176,1012.63,North,sun,6.2307,57
1.644444444,0.95,11.1412,1012.56,North,sun,6.1985,57
2.15,0.91,5.3452,1012.36,North,fog,5.1359,67
2.094444444,0.92,6.1019,1012.65,North,fog,6.3595,54
2.105555556,0.92,2.737,1012.95,North,fog,7.0357,42
1.111111111,0.99,3.7191,1013.23,North,rain,4.8783,27
1.222222222,0.98,3.8962,1013.41,North,rain,5.1037,45
2.15,0.92,3.9123,1013.51,North,sun,10.8836,36
2.15,0.92,13.202,1013.33,South,rain,7.8085,3
2.227777778,0.92,8.0822,1013.01,SW,rain,10.7387,3
2.172222222,0.92,2.1252,1012.62,WSW,rain,10.8514,25
2.733333333,0.89,3.7352,1012.32,West,rain,10.8514,3
2.288888889,0.92,7.8729,1012.13,West,rain,10.7226,6
2.15,0.93,3.4937,1011.84,WSW,sun,5.9248,15
2.127777778,0.92,3.2361,1012.02,WSW,sun,5.8926,26
2.077777778,0.93,1.0787,1012.01,North,rain,4.83,28
1.088888889,0.93,4.0411,1011.91,North,rain,4.347,30
1.088888889,0.96,2.576,1011.82,North,rain,3.4293,52
0.655555556,0.96,3.5098,1011.89,North,rain,3.3971,52
0.577777778,0.96,3.2683,1011.6,North,rain,4.8139,54
0.577777778,0.96,3.0429,1011.22,North,rain,3.8801,90
-1.683333333,0.86,13.4274,1011.59,North,sun,8.0822,78
0.05,0.99,3.2039,1010.81,North,rain,4.7978,43
0.555555556,0.96,6.3112,1010.12,North,sun,14.4739,43
0.622222222,0.95,6.5366,1009.82,North,sun,14.5866,40
1.066666667,0.89,11.0446,1009.52,North,rain,0.483,41
1.066666667,0.86,9.3541,1009.12,North,rain,10.8514,49
1.027777778,0.93,10.4811,1009.23,North,rain,8.0983,95
1.066666667,0.92,11.27,1009.33,SSW,sun,7.7763,110
1.088888889,0.92,8.855,1009.45,SW,rain,7.728,76
1.144444444,0.93,5.1198,1009.62,SW,sun,5.957,3
1.133333333,0.92,7.8568,1009.45,WSW,sun,5.8926,3
2.15,0.92,9.2575,1009.25,West,rain,5.9087,3
2.672222222,0.89,10.8514,1008.99,West,rain,5.6672,18
2.15,0.86,11.3022,1008.27,WSW,sun,5.9731,19
2.155555556,0.92,12.7351,1008.37,SW,sun,5.9731,
2.138888889,0.86,11.4149,1008.59,SSW,rain,5.9731,
1.016666667,0.92,14.3612,1008.47,West,sun,4.3631,
-0.022222222,0.92,17.2753,1009.06,West,sun,4.3631,
0.005555556,0.93,19.1751,1009.72,NW,rain,4.186,
-0.094444444,0.86,17.5812,1010.04,North,rain,4.3631,
-0.65,0.92,17.549,1010.24,North,sun,4.3631,
-1.061111111,0.92,16.8084,1010.67,North,sun,4.8461,
-1.738888889,0.88,20.3343,1010.86,North,sun,4.3953,
-1.738888889,0.85,17.2109,1011.24,North,sun,4.3631,
-3.527777778,0.85,6.762,1016.67,North,sun,11.0607,
-2.294444444,0.85,20.3665,1012.03,North,sun,7.7763,
-2.755555556,0.88,17.3075,1012.04,North,rain,7.8246,
-2.727777778,0.79,19.642,1012,North,sun,8.1788,
-2.85,0.72,15.9712,1012.16,North,rain,9.7083,
-3.916666667,0.78,20.3987,1012.53,North,rain,9.7083,
-3.772222222,0.78,16.1322,1012.91,North,rain,9.7888,
-2.827777778,0.72,20.4953,1013.54,SW,fog,9.9015,
-2.244444444,0.7,20.4953,1014.04,WSW,rain,9.9015,
-2.122222222,0.74,22.218,1014.73,WSW,rain,10.948,
-1.138888889,0.69,22.5078,1015.12,West,sun,11.1251,
-0.072222222,0.63,20.8495,1015.05,West,sun,11.1251,20
0.111111111,0.67,20.8495,1015.11,WNW,sun,10.948,27
0,0.63,20.6402,0,West,sun,11.1251,26
0.05,0.69,20.9139,0,WSW,sun,11.27,43
0.072222222,0.67,14.0392,1015.99,West,sun,11.0768,52
-0.05,0.69,4.6046,0,West,rain,11.27,65
-1.161111111,0.69,9.338,0,WSW,fog,11.27,41
-2.127777778,0.79,4.5241,1017.51,West,sun,11.0285,46
-2.3,0.81,4.8944,0,WNW,sun,9.982,149
-2.827777778,0.78,4.1377,0,WNW,sun,9.9015,164
-3.355555556,0.83,5.3935,1018.17,WNW,sun,14.8764,164
-3.988888889,0.92,4.6046,0,WNW,fog,9.8049,145
-4.038888889,0.92,4.83,0,WSW,rain,9.8049,91
-3.75,0.89,3.7513,1016.16,West,rain,9.1931,67
-4.038888889,0.85,12.5741,0,West,rain,9.6117,57
-4.038888889,0.85,12.4453,0,WSW,fog,9.6117,71
-4.016666667,0.89,12.4292,1015.6,WSW,sun,9.6761,56
-4.066666667,0.84,12.4453,0,SSW,sun,9.5956,55
-4.066666667,0.84,14.4578,0,SSW,sun,7.7441,50
-4.077777778,0.81,12.4936,1014.24,SW,sun,9.3219,41
-3.961111111,0.79,15.5043,1013.89,SW,fog,9.7566,46
-2.922222222,0.72,15.6492,1013.39,SW,sun,9.9015,47
-2.327777778,0.62,20.5758,1012.78,WNW,sun,9.982,41
-2.3,0.56,23.1679,1011.99,West,sun,9.982,41
-2.227777778,0.61,24.955,1011.39,WNW,sun,11.2056,33
-2.622222222,0.68,20.8495,1010.58,WSW,sun,5.5384,27
-2.711111111,0.7,17.388,1009.67,West,sun,6.2951,34
-2.733333333,0.7,14.3934,1009.45,West,sun,8.05,56
-2.777777778,0.72,15.4238,1008.91,West,sun,10.0625,61
-2.8,0.71,12.5419,1008.26,WSW,sun,10.8997,63
-3.838888889,0.84,12.1233,1008.35,West,sun,5.9731,63
-3.816666667,0.91,10.0625,1008.36,West,sun,4.7173,56
-3.861111111,0.91,12.1877,1008.07,North,rain,4.1216,40
-4.372222222,0.91,10.7226,1007.96,North,rain,3.6547,27
-4.833333333,0.92,12.6868,1007.87,North,sun,3.2039,23
-4.905555556,0.91,10.6421,1007.35,North,sun,3.2039,28
-4.861111111,0.92,6.1341,1020.33,North,sun,3.4937,37
-3.5,0.8,6.1502,1020.41,North,sun,5.6833,34
-4.861111111,0.88,3.2361,1020.51,North,sun,3.0429,24
-4.35,0.84,6.118,1020.21,North,sun,3.0429,32
-4.361111111,0.86,5.4901,1019.82,North,sun,3.5742,42
-4.883333333,0.84,4.83,1019.71,North,sun,3.9606,69
-3.911111111,0.79,0.1449,1019.52,North,sun,3.9606,114
-4.022222222,0.81,2.5921,1019.74,North,sun,4.508,119
-3.861111111,0.79,2.9624,1019.73,West,sun,4.4597,110
-3.861111111,0.79,3.1234,1019.93,West,sun,4.4597,75
-3.927777778,0.85,4.991,1020.21,WSW,drizzle,5.313,58
-2.822222222,0.72,1.932,1020.02,WSW,sun,5.9731,56
-2.822222222,0.79,1.8032,1019.52,West,sun,5.9731,51
-2.405555556,0.77,1.8193,1019.28,West,sun,5.6833,49
-2.244444444,0.76,2.9463,1018.71,SW,rain,6.9069,49
-2.244444444,0.7,1.288,1018.43,WNW,sun,7.8246,25
-2.788888889,0.73,2.0608,1018.55,WNW,sun,5.6833,28
-2.8,0.78,3.22,1018.52,WNW,sun,4.4436,28
-2.8,0.78,3.4615,1018.64,NW,sun,5.9731,42
-2.85,0.73,6.0697,1019.02,North,sun,6.2307,37
-2.822222222,0.78,4.8461,1019.15,North,sun,5.9731,38
-3.333333333,0.78,6.1985,1019.44,North,sun,5.9731,42
-3.388888889,0.82,5.8604,1019.83,West,sun,6.2307,37
-3.4,0.79,6.3273,1020.15,North,rain,5.9731,42
-3.4,0.81,6.6332,1020.25,West,sun,5.9731,52
-4.855555556,0.91,6.1663,1024.81,WSW,fog,4.0572,59
-3.911111111,0.84,5.7155,1020.66,North,sun,5.9731,70
-3.911111111,0.81,10.8997,1020.57,North,sun,5.9731,73
-4.377777778,0.87,6.0214,1020.65,North,sun,6.2307,75
-4.422222222,0.84,10.5938,1020.55,North,sun,6.0214,78
-3.933333333,0.84,4.8139,1020.67,West,sun,6.0214,87
-3.972222222,0.8,5.3291,1021.04,WSW,drizzle,4.025,91
-3.933333333,0.78,9.3863,1021.57,West,sun,3.5581,92
-3.955555556,0.79,9.3058,1022.17,WNW,drizzle,3.5581,75
-3.922222222,0.8,8.7584,1022.74,WNW,sun,3.4776,50
-3.883333333,0.78,7.7763,1022.85,West,sun,3.6547,42
-3.838888889,0.78,4.8944,1022.35,West,sun,3.6547,42
-3.811111111,0.79,7.1806,1022.18,WNW,sun,3.5259,29
-3.816666667,0.78,8.2593,1022.04,West,sun,4.1216,35
-3.816666667,0.78,9.5795,1022.13,WNW,sun,4.1216,48
-2.922222222,0.73,9.177,1022.34,WSW,sun,3.9123,55
-2.8,0.72,9.5795,1022.37,NW,sun,4.025,55
-2.822222222,0.78,9.6117,1023.13,WNW,sun,4.025,52
-2.944444444,0.79,10.2396,1023.55,NNW,sun,4.0572,53
-2.844444444,0.79,7.9856,1023.75,North,sun,4.025,39
-3.355555556,0.81,6.3112,1024.07,North,sun,6.0214,56
-3.461111111,0.82,9.6439,1024.93,North,sun,6.2629,67
